Rank,Player (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Real-Time
86,Jordyn Tyson   NO (8),WR35,89,72,97,86.0,85  +1
87,Michael Wilson   ARI (14),WR36,105,84,70,86.3,100  -13
88,Alec Pierce   IND (13),WR37,79,82,98,86.3,84  +4
89,Jaxson Dart   NYG (8),QB11,77,89,95,87.0,87  +2
90,Courtland Sutton   DEN (10),WR38,96,85,83,88.0,99  -9
91,Chris Godwin Jr.   TB (10),WR39,95,93,85,91.0,92  -1
92,J.K. Dobbins   DEN (10),RB34,99,90,86,91.7,83  +9
93,Blake Corum   LAR (11),RB35,98,91,94,94.3,90  +3
94,Jonathon Brooks   CAR (5),RB36,109,92,88,96.3,89  +5
95,Makai Lemon   PHI (10),WR40,104,77,111,97.3,116  -21
96,George Kittle   SF (8),TE9,86,100,113,99.7,88  +8
97,Travis Kelce   KC (5),TE10,91,111,100,100.7,95  +2
98,Patrick Mahomes II   KC (5),QB12,93,101,108,100.7,106  -8
99,Brock Purdy   SF (8),QB13,94,106,110,103.3,101  -2
100,Dalton Kincaid   BUF (7),TE11,100,96,119,105.0,102  -2
101,Bo Nix   DEN (10),QB14,103,113,102,106.0,112  -11
102,Isaiah Likely   NYG (8),TE12,108,121,90,106.3,108  -6
103,Michael Pittman Jr.   PIT (9),WR41,123,98,101,107.3,115  -12
104,Matthew Stafford   LAR (11),QB15,101,116,105,107.3,114  -10
105,Kenny Gainwell   TB (10),RB37,115,109,99,107.7,109  -4
106,Quentin Johnston   LAC (7),WR42,110,104,109,107.7,98  +8
107,Jacory Croskey-Merritt   WAS (7),RB38,118,108,104,110.0,105  +2
108,Jordan Addison   MIN (6),WR43,120,99,112,110.3,119  -11
109,Jake Ferguson   DAL (14),TE13,112,105,115,110.7,120  -11
110,Rachaad White   WAS (7),RB39,121,118,96,111.7,111  -1
111,Jakobi Meyers   JAC (7),WR44,141,95,107,114.3,133  -22
112,Jordan Mason   MIN (6),RB40,125,127,93,115.0,107  +5
113,Mark Andrews   BAL (13),TE14,113,114,118,115.0,122  -9
114,Wan'Dale Robinson   TEN (9),WR45,174,102,72,116.0,135  -21
